Year,Sex,Age group (years),Count,"Age-specific rate(per 100,000)"
1997,Males,35–44,45,3.16
1997,Males,45–54,82,6.85
1997,Males,55–64,106,13.36
1997,Males,65–74,163,26.45
1997,Males,75–84,141,47.44
1997,Males,85–94,23,36.13
1997,Persons,15–24,9,0.35
1997,Persons,25–34,36,1.24
1997,Persons,35–44,76,2.68
1997,Persons,45–54,122,5.11
1997,Persons,55–64,154,9.79
1997,Persons,65–74,241,18.6
1997,Persons,75–84,211,28.82
1997,Persons,85–94,53,24.97
1998,Females,15–24,1,0.2
1998,Females,25–34,16,1.14
1998,Females,35–44,29,1.99
1998,Females,45–54,39,3.18
1998,Females,55–64,49,6.15
1998,Females,65–74,70,10.3
1998,Females,75–84,82,18.31
1998,Females,85–94,57,36.58
1998,Males,15–24,1,0.1
1998,Males,25–34,24,1.69
1998,Males,35–44,43,2.99
1998,Males,45–54,89,7.2
1998,Males,55–64,111,13.58
1998,Males,65–74,183,29.53
1998,Males,75–84,132,42.62
1998,Males,85–94,40,58.94
1998,Persons,15–24,2,0.1
1998,Persons,25–34,40,1.4
1998,Persons,35–44,72,2.5
1998,Persons,45–54,128,5.21
1998,Persons,55–64,160,9.86
1998,Persons,65–74,253,19.51
1998,Persons,75–84,214,28.25
1998,Persons,85–94,97,43.37
1999,Females,15–24,4,0.36
1999,Females,25–34,15,1.05
1999,Females,35–44,31,2.14
1999,Females,45–54,49,3.93
1999,Females,55–64,54,6.51
1999,Females,65–74,87,12.86
1999,Females,75–84,68,14.75
1999,Females,85–94,56,33.92
1999,Males,15–24,3,0.5
1999,Males,25–34,17,1.2
1999,Males,35–44,44,3.04
1999,Males,45–54,82,6.46
1999,Males,55–64,120,14.12
1999,Males,65–74,166,26.59
1999,Males,75–84,154,47.65
1999,Males,85–94,55,76
1999,Persons,15–24,7,0.32
1999,Persons,25–34,32,1.09
1999,Persons,35–44,75,2.54
1999,Persons,45–54,131,5.16
1999,Persons,55–64,174,10.35
1999,Persons,65–74,253,19.47
1999,Persons,75–84,222,28.31
1999,Persons,85–94,111,46.77
2000,Females,15–24,4,0.6
2000,Females,25–34,13,0.96
2000,Females,35–44,39,2.65
2000,Females,45–54,45,3.5
2000,Females,55–64,55,6.36
2000,Females,65–74,69,10.25
2000,Females,75–84,86,18.1
2000,Females,85–94,43,24.74
2000,Males,15–24,4,0.3
2000,Males,25–34,11,0.74
2000,Males,35–44,40,2.79
2000,Males,45–54,71,5.47
2000,Males,55–64,109,12.29
2000,Males,65–74,171,27.27
2000,Males,75–84,168,49.92
2000,Males,85–94,43,55.85
2000,Persons,15–24,8,0.36
2000,Persons,25–34,24,0.85
2000,Persons,35–44,79,2.7
2000,Persons,45–54,116,4.48
2000,Persons,55–64,164,9.36
2000,Persons,65–74,240,18.46
2000,Persons,75–84,254,31.34
2000,Persons,85–94,86,34.25
2001,Females,15–24,4,0.36
2001,Females,25–34,18,1.25
2001,Females,35–44,24,1.6
2001,Females,45–54,47,3.53
2001,Females,55–64,64,7.14
2001,Females,65–74,73,10.77
2001,Females,75–84,104,21.16
2001,Females,85–94,56,30.75
2001,Males,15–24,9,0.69
2001,Males,25–34,14,1
2001,Males,35–44,54,3.65
2001,Males,45–54,77,5.84
2001,Males,55–64,126,13.68
2001,Males,65–74,185,29.12
2001,Males,75–84,167,47.26
2001,Males,85–94,52,63.89
2001,Persons,15–24,13,0.47
